WHAT IS SEYMOUR SKINNER'S REAL|NAME?;HANK TANZARIAN;ARMIN TANZARIAN;ROBERT SKINNER;SEYMOUR SKINNER,|IT ALWAYS HAS|BEEN
\\IN THE EPISODE "THIRTY MINUTES|OVER TOKYO" WHERE DOES HOMER|HOPE THAT THE SIMPSONS END UP|BUYING PLANE TICKETS TO?;JAMAICA;ENGLAND;CHINA;AUSTRALIA
HOW MANY DOLLARY-DOOS DOES|BART'S CONNECT CALL TO|AUSTRALIA COST?;500;100;1000;900
\\IN THE EPISODE "TO SURVEIL|WITH LOVE" WHAT FOOD DOES|HOMER TRY IN SEVERAL LOCATIONS|AFTER RECOMMENDATION FROM|LENNY?;SLOPPY JOES;PORK CHOPS;MAC AND CHEESE;HAMBURGER
WHO IS NOT A MEMBER OF THE|STONECUTTERS?;HOMER;DR HIBBERT;MOE;PROFESSOR FRINK
HOW LONG DID LISA SAY HOMER'S|HEART WOULD STOP FOR IN HIS|HEART BYPASS OPERATION?;1 HOUR;6 MINUTES;15 MINUTES;1 MINUTE
\\THE CASH REGISTER IN THE|OPENING CREDITS VALUES MAGGIE|AT $847.63 WHEN SHE IS SCANNED|THROUGH. WHAT IS THIS IN|REFERENCE TO?;THE RUNNING COST|OF 1 EPISODE OF|THE SIMPSONS IN|1989;HOW MUCH PARENTS|WOULD PAY FOR|DIAPERS A YEAR IN|1989;THE AVERAGE|MONTHLY SHOPPING|BILL IN AMERICA|IN 1989;NONE OF THE|ABOVE.
WHAT SONG PLAYS WHEN HOMER|WALKS TO THE RING FOR HIS|FIGHT WITH DREDERICK TATUM;WHY CAN'T WE BE|FRIENDS;GIVE PEACE A|CHANCE;I LOVE YOU BABY;DON'T LOOK BACK|IN ANGER
WHAT IS THE NAME OF THE FIRST|SONG THAT "SADGASM" PLAY?;POLITICALLY|INCORRECT;SAVE ME;MARGERINE;SMELLS LIKE TEAM|SPIRIT
\\WHICH FOOTBALL TEAM DOES HOMER|DREAM OF OWNING AND WHICH TEAM|DOES HANK SCORPIO GIVE HIM?;DREAM-ATLANTA|FALCONS:|GIVEN-DENVER|BRONCOS;DREAM-NEW ENGLAND|PATRIOTS: GIVEN-|DALLAS COWBOYS;DREAM-DALLAS|COWBOYS: GIVEN-|DENVER BRONCOS;DREAM-DENVER|BRONCOS: GIVEN-|GREEN BAY PACKERS
WHICH OF THESE CARTOON HAS NOT|FEATURED IN THE SIMPSONS?;FUTURAMA;FAMILY GUY;RICK AND MORTY;AMERICAN DAD
WHICH OF THESE IS NOT ONE OF|HOMER'S LIFELONG DREAMS;RIDE THE DUFF|BLIMP;RUN OUT ON THE|FIELD DURING A|BASEBALL GAME;EAT THE WORLD'S|BIGGEST HOAGIE;ACHIEVING HIS|MANY GOALS
WHAT SONG PLAYS DURING THE|VIDEO "PIC A DAY FOR 39 YEARS";CARLY|COMMANDO-EVERYDAY;THE BEATLES- IN|MY LIFE;FRANK SINATRA- MY|WAY;NO MUSIC WAS USED
IN THE EPISODE "JAZZY AND THE|PUSSYCATS" WHAT MUSIC VIDEO IS|IMPERSONATED?;OASIS-WONDERWALL;SLIPKNOT- DUALITY;WHITE STRIPES-|HARDEST BUTTON TO|BUTTON;GREEN DAY-|AMERICAN IDIOT
BONUS QUESTION-WHICH OF THESE|IS NOT A SECRET HIDDEN CAR IN|SIMPSONS HIT AND RUN?;ROCKET CAR;WIENER CAR;QUADBIKE;RC CAR
"YOU'LL HAVE TO SPEAK UP, I'M|WEARING A ___.";BATH ROBE;TOWEL;HELMET;HAT
\\"SON, WHEN YOU PARTICIPATE IN|SPORTING EVENTS, IT'S NOT|WHETHER YOU WIN OR LOSE: IT'S|HOW ___.";HARD YOU TRIED;MUCH YOU DID OR|DIDN'T FAIL;MUCH THE OTHER|KIDS SUCKED;DRUNK YOU GET
"LISA, VAMPIRES ARE|MAKE-BELIEVE, LIKE ELVES,|GREMLINS, AND ___.";INDIANS;CAVEMAN;ESKIMOS;MIDGETS
